"Datum","Feiertag","Bundesland"
2014-01-01,"Neujahr in Deutschland","Baden-Wuerttemberg"
2014-01-06,"Heilige Drei Könige","Baden-Wuerttemberg"
2014-04-18,"Karfreitag in Deutschland","Baden-Wuerttemberg"
2014-04-21,"Ostermontag in Deutschland","Baden-Wuerttemberg"
2014-05-01,"Tag der Arbeit in Deutschland","Baden-Wuerttemberg"
2014-05-29,"Christi Himmelfahrt in Deutschland","Baden-Wuerttemberg"
2014-06-09,"Pfingstmontag in Deutschland","Baden-Wuerttemberg"
2014-06-19,"Fronleichnam in Deutschland","Baden-Wuerttemberg"
2014-10-03,"Tag der Deutschen Einheit","Baden-Wuerttemberg"
2014-11-01,"Allerheiligen in Deutschland","Baden-Wuerttemberg"
2014-12-25,"1. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2014-12-26,"2. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2015-01-01,"Neujahr in Deutschland","Baden-Wuerttemberg"
2015-01-06,"Heilige Drei Könige","Baden-Wuerttemberg"
2015-04-03,"Karfreitag in Deutschland","Baden-Wuerttemberg"
2015-04-06,"Ostermontag in Deutschland","Baden-Wuerttemberg"
2015-05-01,"Tag der Arbeit in Deutschland","Baden-Wuerttemberg"
2015-05-14,"Christi Himmelfahrt in Deutschland","Baden-Wuerttemberg"
2015-05-25,"Pfingstmontag in Deutschland","Baden-Wuerttemberg"
2015-06-04,"Fronleichnam in Deutschland","Baden-Wuerttemberg"
2015-10-03,"Tag der Deutschen Einheit","Baden-Wuerttemberg"
2015-11-01,"Allerheiligen in Deutschland","Baden-Wuerttemberg"
2015-12-25,"1. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2015-12-26,"2. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2016-01-01,"Neujahr in Deutschland","Baden-Wuerttemberg"
2016-01-06,"Heilige Drei Könige","Baden-Wuerttemberg"
2016-03-25,"Karfreitag in Deutschland","Baden-Wuerttemberg"
2016-03-28,"Ostermontag in Deutschland","Baden-Wuerttemberg"
2016-05-01,"Tag der Arbeit in Deutschland","Baden-Wuerttemberg"
2016-05-05,"Christi Himmelfahrt in Deutschland","Baden-Wuerttemberg"
2016-05-16,"Pfingstmontag in Deutschland","Baden-Wuerttemberg"
2016-05-26,"Fronleichnam in Deutschland","Baden-Wuerttemberg"
2016-10-03,"Tag der Deutschen Einheit","Baden-Wuerttemberg"
2016-11-01,"Allerheiligen in Deutschland","Baden-Wuerttemberg"
2016-12-25,"1. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2016-12-26,"2. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2017-01-01,"Neujahr in Deutschland","Baden-Wuerttemberg"
2017-01-06,"Heilige Drei Könige","Baden-Wuerttemberg"
2017-04-14,"Karfreitag in Deutschland","Baden-Wuerttemberg"
2017-04-17,"Ostermontag in Deutschland","Baden-Wuerttemberg"
2017-05-01,"Tag der Arbeit in Deutschland","Baden-Wuerttemberg"
2017-05-25,"Christi Himmelfahrt in Deutschland","Baden-Wuerttemberg"
2017-06-05,"Pfingstmontag in Deutschland","Baden-Wuerttemberg"
2017-06-15,"Fronleichnam in Deutschland","Baden-Wuerttemberg"
2017-10-03,"Tag der Deutschen Einheit","Baden-Wuerttemberg"
2017-10-31,"Reformationstag in Deutschland","Baden-Wuerttemberg"
2017-11-01,"Allerheiligen in Deutschland","Baden-Wuerttemberg"
2017-12-25,"1. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2017-12-26,"2. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2018-01-01,"Neujahr in Deutschland","Baden-Wuerttemberg"
2018-01-06,"Heilige Drei Könige","Baden-Wuerttemberg"
2018-03-30,"Karfreitag in Deutschland","Baden-Wuerttemberg"
2018-04-02,"Ostermontag in Deutschland","Baden-Wuerttemberg"
2018-05-01,"Tag der Arbeit in Deutschland","Baden-Wuerttemberg"
2018-05-10,"Christi Himmelfahrt in Deutschland","Baden-Wuerttemberg"
2018-05-21,"Pfingstmontag in Deutschland","Baden-Wuerttemberg"
2018-05-31,"Fronleichnam in Deutschland","Baden-Wuerttemberg"
2018-10-03,"Tag der Deutschen Einheit","Baden-Wuerttemberg"
2018-11-01,"Allerheiligen in Deutschland","Baden-Wuerttemberg"
2018-12-25,"1. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2018-12-26,"2. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2019-01-01,"Neujahr in Deutschland","Baden-Wuerttemberg"
2019-01-06,"Heilige Drei Könige","Baden-Wuerttemberg"
2019-04-19,"Karfreitag in Deutschland","Baden-Wuerttemberg"
2019-04-22,"Ostermontag in Deutschland","Baden-Wuerttemberg"
2019-05-01,"Tag der Arbeit in Deutschland","Baden-Wuerttemberg"
2019-05-30,"Christi Himmelfahrt in Deutschland","Baden-Wuerttemberg"
2019-06-10,"Pfingstmontag in Deutschland","Baden-Wuerttemberg"
2019-06-20,"Fronleichnam in Deutschland","Baden-Wuerttemberg"
2019-10-03,"Tag der Deutschen Einheit","Baden-Wuerttemberg"
2019-11-01,"Allerheiligen in Deutschland","Baden-Wuerttemberg"
2019-12-25,"1. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2019-12-26,"2. Weihnachtstag in Deutschland","Baden-Wuerttemberg"
2014-01-01,"Neujahr in Deutschland","Bayern"
2014-01-06,"Heilige Drei Könige","Bayern"
2014-04-18,"Karfreitag in Deutschland","Bayern"
2014-04-21,"Ostermontag in Deutschland","Bayern"
2014-05-01,"Tag der Arbeit in Deutschland","Bayern"
2014-05-29,"Christi Himmelfahrt in Deutschland","Bayern"
2014-06-09,"Pfingstmontag in Deutschland","Bayern"
2014-06-19,"Fronleichnam in Deutschland","Bayern"
2014-08-15,"Mariä Himmelfahrt in Deutschland","Bayern"
2014-10-03,"Tag der Deutschen Einheit","Bayern"
2014-11-01,"Allerheiligen in Deutschland","Bayern"
2014-12-25,"1. Weihnachtstag in Deutschland","Bayern"
2014-12-26,"2. Weihnachtstag in Deutschland","Bayern"
2015-01-01,"Neujahr in Deutschland","Bayern"
2015-01-06,"Heilige Drei Könige","Bayern"
2015-04-03,"Karfreitag in Deutschland","Bayern"
2015-04-06,"Ostermontag in Deutschland","Bayern"
2015-05-01,"Tag der Arbeit in Deutschland","Bayern"
2015-05-14,"Christi Himmelfahrt in Deutschland","Bayern"
2015-05-25,"Pfingstmontag in Deutschland","Bayern"
2015-06-04,"Fronleichnam in Deutschland","Bayern"
2015-08-15,"Mariä Himmelfahrt in Deutschland","Bayern"
2015-10-03,"Tag der Deutschen Einheit","Bayern"
2015-11-01,"Allerheiligen in Deutschland","Bayern"
2015-12-25,"1. Weihnachtstag in Deutschland","Bayern"
2015-12-26,"2. Weihnachtstag in Deutschland","Bayern"
2016-01-01,"Neujahr in Deutschland","Bayern"
2016-01-06,"Heilige Drei Könige","Bayern"
2016-03-25,"Karfreitag in Deutschland","Bayern"
2016-03-28,"Ostermontag in Deutschland","Bayern"
2016-05-01,"Tag der Arbeit in Deutschland","Bayern"
2016-05-05,"Christi Himmelfahrt in Deutschland","Bayern"
2016-05-16,"Pfingstmontag in Deutschland","Bayern"
2016-05-26,"Fronleichnam in Deutschland","Bayern"
2016-08-15,"Mariä Himmelfahrt in Deutschland","Bayern"
2016-10-03,"Tag der Deutschen Einheit","Bayern"
2016-11-01,"Allerheiligen in Deutschland","Bayern"
2016-12-25,"1. Weihnachtstag in Deutschland","Bayern"
2016-12-26,"2. Weihnachtstag in Deutschland","Bayern"
2017-01-01,"Neujahr in Deutschland","Bayern"
2017-01-06,"Heilige Drei Könige","Bayern"
2017-04-14,"Karfreitag in Deutschland","Bayern"
2017-04-17,"Ostermontag in Deutschland","Bayern"
2017-05-01,"Tag der Arbeit in Deutschland","Bayern"
2017-05-25,"Christi Himmelfahrt in Deutschland","Bayern"
2017-06-05,"Pfingstmontag in Deutschland","Bayern"
2017-06-15,"Fronleichnam in Deutschland","Bayern"
2017-08-15,"Mariä Himmelfahrt in Deutschland","Bayern"
2017-10-03,"Tag der Deutschen Einheit","Bayern"
2017-10-31,"Reformationstag in Deutschland","Bayern"
2017-11-01,"Allerheiligen in Deutschland","Bayern"
2017-12-25,"1. Weihnachtstag in Deutschland","Bayern"
2017-12-26,"2. Weihnachtstag in Deutschland","Bayern"
2018-01-01,"Neujahr in Deutschland","Bayern"
2018-01-06,"Heilige Drei Könige","Bayern"
2018-03-30,"Karfreitag in Deutschland","Bayern"
2018-04-02,"Ostermontag in Deutschland","Bayern"
2018-05-01,"Tag der Arbeit in Deutschland","Bayern"
2018-05-10,"Christi Himmelfahrt in Deutschland","Bayern"
2018-05-21,"Pfingstmontag in Deutschland","Bayern"
2018-05-31,"Fronleichnam in Deutschland","Bayern"
2018-08-08,"Augsburger Friedensfest","Bayern"
2018-08-15,"Mariä Himmelfahrt in Deutschland","Bayern"
2018-10-03,"Tag der Deutschen Einheit","Bayern"
2018-11-01,"Allerheiligen in Deutschland","Bayern"
2018-12-25,"1. Weihnachtstag in Deutschland","Bayern"
2018-12-26,"2. Weihnachtstag in Deutschland","Bayern"
2019-01-01,"Neujahr in Deutschland","Bayern"
2019-01-06,"Heilige Drei Könige","Bayern"
2019-04-19,"Karfreitag in Deutschland","Bayern"
2019-04-22,"Ostermontag in Deutschland","Bayern"
2019-05-01,"Tag der Arbeit in Deutschland","Bayern"
2019-05-30,"Christi Himmelfahrt in Deutschland","Bayern"
2019-06-10,"Pfingstmontag in Deutschland","Bayern"
2019-06-20,"Fronleichnam in Deutschland","Bayern"
2019-08-08,"Augsburger Friedensfest","Bayern"
2019-08-15,"Mariä Himmelfahrt in Deutschland","Bayern"
2019-10-03,"Tag der Deutschen Einheit","Bayern"
2019-11-01,"Allerheiligen in Deutschland","Bayern"
2019-12-25,"1. Weihnachtstag in Deutschland","Bayern"
2019-12-26,"2. Weihnachtstag in Deutschland","Bayern"
2014-01-01,"Neujahr in Deutschland","Berlin"
2014-04-18,"Karfreitag in Deutschland","Berlin"
2014-04-21,"Ostermontag in Deutschland","Berlin"
2014-05-01,"Tag der Arbeit in Deutschland","Berlin"
2014-05-29,"Christi Himmelfahrt in Deutschland","Berlin"
2014-06-09,"Pfingstmontag in Deutschland","Berlin"
2014-10-03,"Tag der Deutschen Einheit","Berlin"
2014-12-25,"1. Weihnachtstag in Deutschland","Berlin"
2014-12-26,"2. Weihnachtstag in Deutschland","Berlin"
2015-01-01,"Neujahr in Deutschland","Berlin"
2015-04-03,"Karfreitag in Deutschland","Berlin"
2015-04-06,"Ostermontag in Deutschland","Berlin"
2015-05-01,"Tag der Arbeit in Deutschland","Berlin"
2015-05-14,"Christi Himmelfahrt in Deutschland","Berlin"
2015-05-25,"Pfingstmontag in Deutschland","Berlin"
2015-10-03,"Tag der Deutschen Einheit","Berlin"
2015-12-25,"1. Weihnachtstag in Deutschland","Berlin"
2015-12-26,"2. Weihnachtstag in Deutschland","Berlin"
2016-01-01,"Neujahr in Deutschland","Berlin"
2016-03-25,"Karfreitag in Deutschland","Berlin"
2016-03-28,"Ostermontag in Deutschland","Berlin"
2016-05-01,"Tag der Arbeit in Deutschland","Berlin"
2016-05-05,"Christi Himmelfahrt in Deutschland","Berlin"
2016-05-16,"Pfingstmontag in Deutschland","Berlin"
2016-10-03,"Tag der Deutschen Einheit","Berlin"
2016-12-25,"1. Weihnachtstag in Deutschland","Berlin"
2016-12-26,"2. Weihnachtstag in Deutschland","Berlin"
2017-01-01,"Neujahr in Deutschland","Berlin"
2017-04-14,"Karfreitag in Deutschland","Berlin"
2017-04-17,"Ostermontag in Deutschland","Berlin"
2017-05-01,"Tag der Arbeit in Deutschland","Berlin"
2017-05-25,"Christi Himmelfahrt in Deutschland","Berlin"
2017-06-05,"Pfingstmontag in Deutschland","Berlin"
2017-10-03,"Tag der Deutschen Einheit","Berlin"
2017-10-31,"Reformationstag in Deutschland","Berlin"
2017-12-25,"1. Weihnachtstag in Deutschland","Berlin"
2017-12-26,"2. Weihnachtstag in Deutschland","Berlin"
2018-01-01,"Neujahr in Deutschland","Berlin"
2018-03-30,"Karfreitag in Deutschland","Berlin"
2018-04-02,"Ostermontag in Deutschland","Berlin"
2018-05-01,"Tag der Arbeit in Deutschland","Berlin"
2018-05-10,"Christi Himmelfahrt in Deutschland","Berlin"
2018-05-21,"Pfingstmontag in Deutschland","Berlin"
2018-10-03,"Tag der Deutschen Einheit","Berlin"
2018-12-25,"1. Weihnachtstag in Deutschland","Berlin"
2018-12-26,"2. Weihnachtstag in Deutschland","Berlin"
2019-01-01,"Neujahr in Deutschland","Berlin"
2019-03-08,"Internationaler Frauentag","Berlin"
2019-04-19,"Karfreitag in Deutschland","Berlin"
2019-04-22,"Ostermontag in Deutschland","Berlin"
2019-05-01,"Tag der Arbeit in Deutschland","Berlin"
2019-05-30,"Christi Himmelfahrt in Deutschland","Berlin"
2019-06-10,"Pfingstmontag in Deutschland","Berlin"
2019-10-03,"Tag der Deutschen Einheit","Berlin"
2019-12-25,"1. Weihnachtstag in Deutschland","Berlin"
2019-12-26,"2. Weihnachtstag in Deutschland","Berlin"
2014-01-01,"Neujahr in Deutschland","Brandenburg"
2014-04-18,"Karfreitag in Deutschland","Brandenburg"
2014-04-20,"Ostersonntag in Deutschland","Brandenburg"
2014-04-21,"Ostermontag in Deutschland","Brandenburg"
2014-05-01,"Tag der Arbeit in Deutschland","Brandenburg"
2014-05-29,"Christi Himmelfahrt in Deutschland","Brandenburg"
2014-06-08,"Pfingstsonntag in Deutschland","Brandenburg"
2014-06-09,"Pfingstmontag in Deutschland","Brandenburg"
2014-10-03,"Tag der Deutschen Einheit","Brandenburg"
2014-10-31,"Reformationstag in Deutschland","Brandenburg"
2014-12-25,"1. Weihnachtstag in Deutschland","Brandenburg"
2014-12-26,"2. Weihnachtstag in Deutschland","Brandenburg"
2015-01-01,"Neujahr in Deutschland","Brandenburg"
2015-04-03,"Karfreitag in Deutschland","Brandenburg"
2015-04-05,"Ostersonntag in Deutschland","Brandenburg"
2015-04-06,"Ostermontag in Deutschland","Brandenburg"
2015-05-01,"Tag der Arbeit in Deutschland","Brandenburg"
2015-05-14,"Christi Himmelfahrt in Deutschland","Brandenburg"
2015-05-24,"Pfingstsonntag in Deutschland","Brandenburg"
2015-05-25,"Pfingstmontag in Deutschland","Brandenburg"
2015-10-03,"Tag der Deutschen Einheit","Brandenburg"
2015-10-31,"Reformationstag in Deutschland","Brandenburg"
2015-12-25,"1. Weihnachtstag in Deutschland","Brandenburg"
2015-12-26,"2. Weihnachtstag in Deutschland","Brandenburg"
2016-01-01,"Neujahr in Deutschland","Brandenburg"
2016-03-25,"Karfreitag in Deutschland","Brandenburg"
2016-03-27,"Ostersonntag in Deutschland","Brandenburg"
2016-03-28,"Ostermontag in Deutschland","Brandenburg"
2016-05-01,"Tag der Arbeit in Deutschland","Brandenburg"
2016-05-05,"Christi Himmelfahrt in Deutschland","Brandenburg"
2016-05-15,"Pfingstsonntag in Deutschland","Brandenburg"
2016-05-16,"Pfingstmontag in Deutschland","Brandenburg"
2016-10-03,"Tag der Deutschen Einheit","Brandenburg"
2016-12-25,"1. Weihnachtstag in Deutschland","Brandenburg"
2016-12-26,"2. Weihnachtstag in Deutschland","Brandenburg"
2017-01-01,"Neujahr in Deutschland","Brandenburg"
2017-04-14,"Karfreitag in Deutschland","Brandenburg"
2017-04-16,"Ostersonntag in Deutschland","Brandenburg"
2017-04-17,"Ostermontag in Deutschland","Brandenburg"
2017-05-01,"Tag der Arbeit in Deutschland","Brandenburg"
2017-05-25,"Christi Himmelfahrt in Deutschland","Brandenburg"
2017-06-04,"Pfingstsonntag in Deutschland","Brandenburg"
2017-06-05,"Pfingstmontag in Deutschland","Brandenburg"
2017-10-03,"Tag der Deutschen Einheit","Brandenburg"
2017-10-31,"Reformationstag in Deutschland","Brandenburg"
2017-12-25,"1. Weihnachtstag in Deutschland","Brandenburg"
2017-12-26,"2. Weihnachtstag in Deutschland","Brandenburg"
2018-01-01,"Neujahr in Deutschland","Brandenburg"
2018-03-30,"Karfreitag in Deutschland","Brandenburg"
2018-04-01,"Ostersonntag in Deutschland","Brandenburg"
2018-04-02,"Ostermontag in Deutschland","Brandenburg"
2018-05-01,"Tag der Arbeit in Deutschland","Brandenburg"
2018-05-10,"Christi Himmelfahrt in Deutschland","Brandenburg"
2018-05-20,"Pfingstsonntag in Deutschland","Brandenburg"
2018-05-21,"Pfingstmontag in Deutschland","Brandenburg"
2018-10-03,"Tag der Deutschen Einheit","Brandenburg"
2018-10-31,"Reformationstag in Deutschland","Brandenburg"
2018-12-25,"1. Weihnachtstag in Deutschland","Brandenburg"
2018-12-26,"2. Weihnachtstag in Deutschland","Brandenburg"
2019-01-01,"Neujahr in Deutschland","Brandenburg"
2019-04-19,"Karfreitag in Deutschland","Brandenburg"
2019-04-21,"Ostersonntag in Deutschland","Brandenburg"
2019-04-22,"Ostermontag in Deutschland","Brandenburg"
2019-05-01,"Tag der Arbeit in Deutschland","Brandenburg"
2019-05-30,"Christi Himmelfahrt in Deutschland","Brandenburg"
2019-06-09,"Pfingstsonntag in Deutschland","Brandenburg"
2019-06-10,"Pfingstmontag in Deutschland","Brandenburg"
2019-10-03,"Tag der Deutschen Einheit","Brandenburg"
2019-10-31,"Reformationstag in Deutschland","Brandenburg"
2019-12-25,"1. Weihnachtstag in Deutschland","Brandenburg"
2019-12-26,"2. Weihnachtstag in Deutschland","Brandenburg"
2014-01-01,"Neujahr in Deutschland","Bremen"
2014-04-18,"Karfreitag in Deutschland","Bremen"
2014-04-21,"Ostermontag in Deutschland","Bremen"
2014-05-01,"Tag der Arbeit in Deutschland","Bremen"
2014-05-29,"Christi Himmelfahrt in Deutschland","Bremen"
2014-06-09,"Pfingstmontag in Deutschland","Bremen"
2014-10-03,"Tag der Deutschen Einheit","Bremen"
2014-12-25,"1. Weihnachtstag in Deutschland","Bremen"
2014-12-26,"2. Weihnachtstag in Deutschland","Bremen"
2015-01-01,"Neujahr in Deutschland","Bremen"
2015-04-03,"Karfreitag in Deutschland","Bremen"
2015-04-06,"Ostermontag in Deutschland","Bremen"
2015-05-01,"Tag der Arbeit in Deutschland","Bremen"
2015-05-14,"Christi Himmelfahrt in Deutschland","Bremen"
2015-05-25,"Pfingstmontag in Deutschland","Bremen"
2015-10-03,"Tag der Deutschen Einheit","Bremen"
2015-12-25,"1. Weihnachtstag in Deutschland","Bremen"
2015-12-26,"2. Weihnachtstag in Deutschland","Bremen"
2016-01-01,"Neujahr in Deutschland","Bremen"
2016-03-25,"Karfreitag in Deutschland","Bremen"
2016-03-28,"Ostermontag in Deutschland","Bremen"
2016-05-01,"Tag der Arbeit in Deutschland","Bremen"
2016-05-05,"Christi Himmelfahrt in Deutschland","Bremen"
2016-05-16,"Pfingstmontag in Deutschland","Bremen"
2016-10-03,"Tag der Deutschen Einheit","Bremen"
2016-12-25,"1. Weihnachtstag in Deutschland","Bremen"
2016-12-26,"2. Weihnachtstag in Deutschland","Bremen"
2017-01-01,"Neujahr in Deutschland","Bremen"
2017-04-14,"Karfreitag in Deutschland","Bremen"
2017-04-17,"Ostermontag in Deutschland","Bremen"
2017-05-01,"Tag der Arbeit in Deutschland","Bremen"
2017-05-25,"Christi Himmelfahrt in Deutschland","Bremen"
2017-06-05,"Pfingstmontag in Deutschland","Bremen"
2017-10-03,"Tag der Deutschen Einheit","Bremen"
2017-10-31,"Reformationstag in Deutschland","Bremen"
2017-12-25,"1. Weihnachtstag in Deutschland","Bremen"
2017-12-26,"2. Weihnachtstag in Deutschland","Bremen"
2018-01-01,"Neujahr in Deutschland","Bremen"
2018-03-30,"Karfreitag in Deutschland","Bremen"
2018-04-02,"Ostermontag in Deutschland","Bremen"
2018-05-01,"Tag der Arbeit in Deutschland","Bremen"
2018-05-10,"Christi Himmelfahrt in Deutschland","Bremen"
2018-05-21,"Pfingstmontag in Deutschland","Bremen"
2018-10-03,"Tag der Deutschen Einheit","Bremen"
2018-10-31,"Reformationstag in Deutschland","Bremen"
2018-12-25,"1. Weihnachtstag in Deutschland","Bremen"
2018-12-26,"2. Weihnachtstag in Deutschland","Bremen"
2019-01-01,"Neujahr in Deutschland","Bremen"
2019-04-19,"Karfreitag in Deutschland","Bremen"
2019-04-22,"Ostermontag in Deutschland","Bremen"
2019-05-01,"Tag der Arbeit in Deutschland","Bremen"
2019-05-30,"Christi Himmelfahrt in Deutschland","Bremen"
2019-06-10,"Pfingstmontag in Deutschland","Bremen"
2019-10-03,"Tag der Deutschen Einheit","Bremen"
2019-10-31,"Reformationstag in Deutschland","Bremen"
2019-12-25,"1. Weihnachtstag in Deutschland","Bremen"
2019-12-26,"2. Weihnachtstag in Deutschland","Bremen"
2014-01-01,"Neujahr in Deutschland","Hamburg"
2014-04-18,"Karfreitag in Deutschland","Hamburg"
2014-04-21,"Ostermontag in Deutschland","Hamburg"
2014-05-01,"Tag der Arbeit in Deutschland","Hamburg"
2014-05-29,"Christi Himmelfahrt in Deutschland","Hamburg"
2014-06-09,"Pfingstmontag in Deutschland","Hamburg"
2014-10-03,"Tag der Deutschen Einheit","Hamburg"
2014-12-25,"1. Weihnachtstag in Deutschland","Hamburg"
2014-12-26,"2. Weihnachtstag in Deutschland","Hamburg"
2015-01-01,"Neujahr in Deutschland","Hamburg"
2015-04-03,"Karfreitag in Deutschland","Hamburg"
2015-04-06,"Ostermontag in Deutschland","Hamburg"
2015-05-01,"Tag der Arbeit in Deutschland","Hamburg"
2015-05-14,"Christi Himmelfahrt in Deutschland","Hamburg"
2015-05-25,"Pfingstmontag in Deutschland","Hamburg"
2015-10-03,"Tag der Deutschen Einheit","Hamburg"
2015-12-25,"1. Weihnachtstag in Deutschland","Hamburg"
2015-12-26,"2. Weihnachtstag in Deutschland","Hamburg"
2016-01-01,"Neujahr in Deutschland","Hamburg"
2016-03-25,"Karfreitag in Deutschland","Hamburg"
2016-03-28,"Ostermontag in Deutschland","Hamburg"
2016-05-01,"Tag der Arbeit in Deutschland","Hamburg"
2016-05-05,"Christi Himmelfahrt in Deutschland","Hamburg"
2016-05-16,"Pfingstmontag in Deutschland","Hamburg"
2016-10-03,"Tag der Deutschen Einheit","Hamburg"
2016-12-25,"1. Weihnachtstag in Deutschland","Hamburg"
2016-12-26,"2. Weihnachtstag in Deutschland","Hamburg"
2017-01-01,"Neujahr in Deutschland","Hamburg"
2017-04-14,"Karfreitag in Deutschland","Hamburg"
2017-04-17,"Ostermontag in Deutschland","Hamburg"
2017-05-01,"Tag der Arbeit in Deutschland","Hamburg"
2017-05-25,"Christi Himmelfahrt in Deutschland","Hamburg"
2017-06-05,"Pfingstmontag in Deutschland","Hamburg"
2017-10-03,"Tag der Deutschen Einheit","Hamburg"
2017-10-31,"Reformationstag in Deutschland","Hamburg"
2017-12-25,"1. Weihnachtstag in Deutschland","Hamburg"
2017-12-26,"2. Weihnachtstag in Deutschland","Hamburg"
2018-01-01,"Neujahr in Deutschland","Hamburg"
2018-03-30,"Karfreitag in Deutschland","Hamburg"
2018-04-02,"Ostermontag in Deutschland","Hamburg"
2018-05-01,"Tag der Arbeit in Deutschland","Hamburg"
2018-05-10,"Christi Himmelfahrt in Deutschland","Hamburg"
2018-05-21,"Pfingstmontag in Deutschland","Hamburg"
2018-10-03,"Tag der Deutschen Einheit","Hamburg"
2018-10-31,"Reformationstag in Deutschland","Hamburg"
2018-12-25,"1. Weihnachtstag in Deutschland","Hamburg"
2018-12-26,"2. Weihnachtstag in Deutschland","Hamburg"
2019-01-01,"Neujahr in Deutschland","Hamburg"
2019-04-19,"Karfreitag in Deutschland","Hamburg"
2019-04-22,"Ostermontag in Deutschland","Hamburg"
2019-05-01,"Tag der Arbeit in Deutschland","Hamburg"
2019-05-30,"Christi Himmelfahrt in Deutschland","Hamburg"
2019-06-10,"Pfingstmontag in Deutschland","Hamburg"
2019-10-03,"Tag der Deutschen Einheit","Hamburg"
2019-10-31,"Reformationstag in Deutschland","Hamburg"
2019-12-25,"1. Weihnachtstag in Deutschland","Hamburg"
2019-12-26,"2. Weihnachtstag in Deutschland","Hamburg"
2014-01-01,"Neujahr in Deutschland","Hessen"
2014-04-18,"Karfreitag in Deutschland","Hessen"
2014-04-21,"Ostermontag in Deutschland","Hessen"
2014-05-01,"Tag der Arbeit in Deutschland","Hessen"
2014-05-29,"Christi Himmelfahrt in Deutschland","Hessen"
2014-06-09,"Pfingstmontag in Deutschland","Hessen"
2014-06-19,"Fronleichnam in Deutschland","Hessen"
2014-10-03,"Tag der Deutschen Einheit","Hessen"
2014-12-25,"1. Weihnachtstag in Deutschland","Hessen"
2014-12-26,"2. Weihnachtstag in Deutschland","Hessen"
2015-01-01,"Neujahr in Deutschland","Hessen"
2015-04-03,"Karfreitag in Deutschland","Hessen"
2015-04-06,"Ostermontag in Deutschland","Hessen"
2015-05-01,"Tag der Arbeit in Deutschland","Hessen"
2015-05-14,"Christi Himmelfahrt in Deutschland","Hessen"
2015-05-25,"Pfingstmontag in Deutschland","Hessen"
2015-06-04,"Fronleichnam in Deutschland","Hessen"
2015-10-03,"Tag der Deutschen Einheit","Hessen"
2015-12-25,"1. Weihnachtstag in Deutschland","Hessen"
2015-12-26,"2. Weihnachtstag in Deutschland","Hessen"
2016-01-01,"Neujahr in Deutschland","Hessen"
2016-03-25,"Karfreitag in Deutschland","Hessen"
2016-03-28,"Ostermontag in Deutschland","Hessen"
2016-05-01,"Tag der Arbeit in Deutschland","Hessen"
2016-05-05,"Christi Himmelfahrt in Deutschland","Hessen"
2016-05-16,"Pfingstmontag in Deutschland","Hessen"
2016-05-26,"Fronleichnam in Deutschland","Hessen"
2016-10-03,"Tag der Deutschen Einheit","Hessen"
2016-12-25,"1. Weihnachtstag in Deutschland","Hessen"
2016-12-26,"2. Weihnachtstag in Deutschland","Hessen"
2017-01-01,"Neujahr in Deutschland","Hessen"
2017-04-14,"Karfreitag in Deutschland","Hessen"
2017-04-17,"Ostermontag in Deutschland","Hessen"
2017-05-01,"Tag der Arbeit in Deutschland","Hessen"
2017-05-25,"Christi Himmelfahrt in Deutschland","Hessen"
2017-06-05,"Pfingstmontag in Deutschland","Hessen"
2017-06-15,"Fronleichnam in Deutschland","Hessen"
2017-10-03,"Tag der Deutschen Einheit","Hessen"
2017-10-31,"Reformationstag in Deutschland","Hessen"
2017-12-25,"1. Weihnachtstag in Deutschland","Hessen"
2017-12-26,"2. Weihnachtstag in Deutschland","Hessen"
2018-01-01,"Neujahr in Deutschland","Hessen"
2018-03-30,"Karfreitag in Deutschland","Hessen"
2018-04-02,"Ostermontag in Deutschland","Hessen"
2018-05-01,"Tag der Arbeit in Deutschland","Hessen"
2018-05-10,"Christi Himmelfahrt in Deutschland","Hessen"
2018-05-21,"Pfingstmontag in Deutschland","Hessen"
2018-05-31,"Fronleichnam in Deutschland","Hessen"
2018-10-03,"Tag der Deutschen Einheit","Hessen"
2018-12-25,"1. Weihnachtstag in Deutschland","Hessen"
2018-12-26,"2. Weihnachtstag in Deutschland","Hessen"
2019-01-01,"Neujahr in Deutschland","Hessen"
2019-04-19,"Karfreitag in Deutschland","Hessen"
2019-04-22,"Ostermontag in Deutschland","Hessen"
2019-05-01,"Tag der Arbeit in Deutschland","Hessen"
2019-05-30,"Christi Himmelfahrt in Deutschland","Hessen"
2019-06-10,"Pfingstmontag in Deutschland","Hessen"
2019-06-20,"Fronleichnam in Deutschland","Hessen"
2019-10-03,"Tag der Deutschen Einheit","Hessen"
2019-12-25,"1. Weihnachtstag in Deutschland","Hessen"
2019-12-26,"2. Weihnachtstag in Deutschland","Hessen"
2014-01-01,"Neujahr in Deutschland","Mecklenburg-Vorpommern"
