date;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen;1=yes;0=no
10.10.13;0;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;;
11.10.13;0;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;;
12.10.13;0;0;1;1;1;0;0;0;1;0;1;0;0;0;1;0;;
13.10.13;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;;
14.10.13;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;;
15.10.13;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;;
16.10.13;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;;
17.10.13;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;;
18.10.13;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;;
19.10.13;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;
20.10.13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
21.10.13;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;;
22.10.13;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;;
23.10.13;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;;
24.10.13;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;;
25.10.13;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;;
26.10.13;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;;
27.10.13;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;;
28.10.13;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;;
29.10.13;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;;
30.10.13;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;;
31.10.13;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;;
01.11.13;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;;
02.11.13;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;;
03.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
04.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
05.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
06.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
07.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
08.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
09.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
10.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
11.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
12.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
